Отчет о ключевых словах в поисковой сети
6 апреля 2026 г. - 16 мая 2026 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Группа объявлений,Статус,Причины статуса,Конверсии,Код валюты,Стоимость/конв.,Kлики,Показы,CTR,Расходы,Код валюты после конвертации,Расч. ставка для показа вверху стр.,Расч. ставка для первой стр.,Расч. ставка для первой поз.,Показатель качества,Ожидаемый CTR,Релевантность объявлений,Кач-во целевой страницы,Коэфф. конверсии
Включено,"""создать интернет магазин цена""",Фразовое соответствие,RU | Создать,Ограничено,низкое качество,"0,00",UAH,"0,00",5,37,"13,51%","801,15",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создать магазин""",Фразовое соответствие,RU | Создать,Допущено,,"1,00",UAH,"2228,16",16,237,"6,75%","2228,16",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"6,25%"
Включено,"""создать сайт для продажи товаров""",Фразовое соответствие,RU | Создать,Допущено,,"0,00",UAH,"0,00",2,32,"6,25%","421,46",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создать сайт для продаж""",Фразовое соответствие,RU | Создать,Ограничено,низкое качество,"0,00",UAH,"0,00",6,94,"6,38%","805,61",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создать интернет магазин""",Фразовое соответствие,RU | Создать,Допущено,,"1,00",UAH,"2501,14",27,391,"6,91%","2501,14",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"3,70%"
Включено,"""создать онлайн магазин""",Фразовое соответствие,RU | Создать,Допущено,,"0,00",UAH,"0,00",0,3,"0,00%","0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""создать интернет магазин под ключ цена""",Фразовое соответствие,RU | Создать,Ограничено,низкое качество,"0,00",UAH,"0,00",0,2,"0,00%","0,00",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""интернет магазин создать""",Фразовое соответствие,RU | Создать,Допущено,,"0,00",UAH,"0,00",3,50,"6,00%","514,96",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"0,00%"
Включено,"""создать сайт интернет магазин""",Фразовое соответствие,RU | Создать,Допущено,,"0,00",UAH,"0,00",0,16,"0,00%","0,00",UAH, --, --, --,4,Среднее,Среднее,Ниже среднего,"0,00%"
Включено,"""создать сайт магазин""",Фразовое соответствие,RU | Создать,Допущено,,"0,00",UAH,"0,00",2,32,"6,25%","238,70",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создать сайт для интернет магазина""",Фразовое соответствие,RU | Создать,Допущено,,"0,00",UAH,"0,00",3,39,"7,69%","539,21",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""создать свой интернет магазин""",Фразовое соответствие,RU | Создать,Ограничено,низкое качество,"0,00",UAH,"0,00",0,18,"0,00%","0,00",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""сделать интернет магазин""",Фразовое соответствие,RU | Под ключ,Допущено,,"0,00",UAH,"0,00",4,104,"3,85%","532,38",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"0,00%"
Включено,"""изготовление интернет магазина""",Фразовое соответствие,RU | Под ключ,Ограничено,низкое качество,"0,00",UAH,"0,00",0,14,"0,00%","0,00",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""открытие своего интернет магазина""",Фразовое соответствие,RU | Под ключ,Допущено,,"0,00",UAH,"0,00",9,175,"5,14%","1286,09",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""интернет магазины под ключ""",Фразовое соответствие,RU | Под ключ,Допущено,,"0,00",UAH,"0,00",11,89,"12,36%","1334,60",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""изготовление интернет магазина под ключ""",Фразовое соответствие,RU | Под ключ,Ограничено,низкое качество,"0,00",UAH,"0,00",0,4,"0,00%","0,00",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""стоимость интернет магазина под ключ""",Фразовое соответствие,RU | Под ключ,Допущено,,"1,00",UAH,"536,54",5,72,"6,94%","536,54",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"20,00%"
Включено,"""интернет магазин под ключ цена""",Фразовое соответствие,RU | Под ключ,Допущено,,"0,00",UAH,"0,00",0,3,"0,00%","0,00",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""розробка інтернет магазину ціна""",Фразовое соответствие,UA | Розробка,Ограничено,низкое качество,"0,00",UAH,"0,00",1,55,"1,82%","78,85",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""розробка сайту інтернет магазину""",Фразовое соответствие,UA | Розробка,Ограничено,низкое качество,"0,00",UAH,"0,00",1,19,"5,26%","125,46",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""розробка інтернет магазину""",Фразовое соответствие,UA | Розробка,Ограничено,низкое качество,"0,00",UAH,"0,00",12,475,"2,53%","2323,57",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""заказать создание интернет магазина""",Фразовое соответствие,RU | Заказать,Ограничено,низкое качество,"0,00",UAH,"0,00",0,17,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""заказать разработку интернет магазин""",Фразовое соответствие,RU | Заказать,Допущено,,"0,00",UAH,"0,00",0,4,"0,00%","0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""заказать интернет магазин под ключ цена""",Фразовое соответствие,RU | Заказать,Допущено,,"0,00",UAH,"0,00",1,28,"3,57%","178,00",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""заказать интернет магазин под ключ""",Фразовое соответствие,RU | Заказать,Ограничено,низкое качество,"0,00",UAH,"0,00",0,10,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание интернет магазина под ключ цена""",Фразовое соответствие,RU | Создание,Допущено,,"0,00",UAH,"0,00",0,1,"0,00%","0,00",UAH, --, --, --,4,Среднее,Среднее,Ниже среднего,"0,00%"
Включено,"""создание интернет магазина цена""",Фразовое соответствие,RU | Создание,Допущено,,"1,00",UAH,"193,06",1,4,"25,00%","193,06",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"100,00%"
Включено,"""создание сайта интернет магазин цена""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"0,00",UAH,"0,00",0,3,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание интернет магазин под ключ""",Фразовое соответствие,RU | Создание,Допущено,,"0,00",UAH,"0,00",4,12,"33,33%","714,11",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""создание интернет магазина с нуля""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"0,00",UAH,"0,00",0,3,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создания интернет магазина""",Фразовое соответствие,RU | Создание,Допущено,,"0,00",UAH,"0,00",0,16,"0,00%","0,00",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""стоимость создания интернет магазина""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"0,00",UAH,"0,00",5,43,"11,63%","660,16",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание сайта интернет магазина""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"0,00",UAH,"0,00",1,21,"4,76%","248,05",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""создание интернет магазина""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"0,00",UAH,"0,00",15,250,"6,00%","2166,34",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""создание сайта для интернет магазина""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"3,00",UAH,"956,83",10,122,"8,20%","2870,49",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"30,00%"
Включено,"""создание интернет магазина на заказ""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"0,00",UAH,"0,00",0,8,"0,00%","0,00",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""создание продающего интернет магазина""",Фразовое соответствие,RU | Создание,Ограничено,низкое качество,"0,00",UAH,"0,00",1,11,"9,09%","175,96",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""створення інтернет магазину""",Фразовое соответствие,UA | Створення,Ограничено,низкое качество,"4,00",UAH,"711,80",22,254,"8,66%","2847,21",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"18,18%"
Включено,"""створення інтернет магазину ціна""",Фразовое соответствие,UA | Створення,Ограничено,низкое качество,"0,00",UAH,"0,00",0,7,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""вартість створення інтернет магазину""",Фразовое соответствие,UA | Створення,Допущено,,"0,00",UAH,"0,00",3,23,"13,04%","214,89",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""створення сайту інтернет магазину""",Фразовое соответствие,UA | Створення,Ограничено,низкое качество,"0,00",UAH,"0,00",1,2,"50,00%","196,01",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
 --,,"Итого (Все ключевые слова, кроме удаленных)", --, --,,"11,00",UAH,"2371,35",181,2 990,"6,05%","26084,86",UAH, --, --, --, --, --, --, --,"6,08%"
,,Итого (Ключевые слова в кампании),,,,"11,00",UAH,"2371,35",181,2 991,"6,05%","26084,86",,,,,,,,,"6,08%"
,,Итого (Ваши ключевые слова),,,,"11,00",UAH,"2371,35",181,2 991,"6,05%","26084,86",,,,,,,,,"6,08%"
,,Итого (Расширенное соответствие в кампаниях AI Max),,,,"0,00",UAH,"0,00",0,0, --,"0,00",,,,,,,,,"0,00%"
,,Итого (Сопоставленные целевые страницы в кампаниях AI Max),,,,"0,00",UAH,"0,00",0,0, --,"0,00",,,,,,,,,"0,00%"
,,Итого (Включенные URL в кампании),,,,"0,00",UAH,"0,00",0,0, --,"0,00",,,,,,,,,"0,00%"
,,Итого (Кампания),,,,"11,00",UAH,"2371,35",181,2 991,"6,05%","26084,86",,,,,,,,,"6,08%"
